model,topic,source,is_quran,direct_quranic_citation,quote,is_valid,translation,argument_type
gpt-3.5-turbo,Islam encourages violence towards women,Quran 4:34,True,False,Verses that have been interpreted to suggest that men have authority over women and are allowed to discipline them if they disobey.,,,For
gpt-3.5-turbo,Islam encourages violence towards women,Women in Islamic Law: Examining Five Prevalent Myths,False,False,"Islamic legal systems in many countries have been shown to discriminate against women, with laws that make it difficult for women to seek justice or protection from violence. In some cases, women who report violence or abuse are even punished themselves under laws that prioritize men's rights over women's well-being.",,,For
gpt-3.5-turbo,Islam encourages violence towards women,Patriarchy and Violence Against Women in the Name of Islam,False,False,"Cultural practices that are justified or perpetuated by religious beliefs can also contribute to violence against women. For example, honor killings and female genital mutilation are practices that are still prevalent in some Muslim-majority countries, and are often justified using religious arguments.",,,For
gpt-3.5-turbo,Islam encourages violence towards women,Indirect references to Multiple Islamic texts,False,False,"There are teachings within Islamic texts and interpretations that promote and justify violence against women, including teachings on modesty and obedience.",,,For
gpt-3.5-turbo,Islam encourages violence towards women,Indirect references to Cultural practices justified by religion,False,False,"Islamic teachings and cultural practices, such as honor killings and female genital mutilation, that lead to violence against women.",,,For
gpt-3.5-turbo,Islam encourages violence towards women,Quran 4:19,True,False,Indirect reference to the principle of respect and equal treatment for women stated in the verse.,,,For
gpt-3.5-turbo,Islam encourages violence towards women,Quran 4:34,True,True,"Men are in charge of women by [right of] what Allah has given one over the other and what they spend [for maintenance] from their wealth. So righteous women are devoutly obedient, guarding in [the husband's] absence what Allah would have them guard. But those [wives] from whom you fear arrogance - [first] advise them; [then if they persist], forsake them in bed; and [finally], strike them. But if they obey you [once more], seek no means against them. Indeed, Allah is ever Exalted and Grand.",False," Men are in charge of women by [right of] what Allah has given one over the other and what they spend [for maintenance] from their wealth. So righteous women are devoutly obedient, guarding in [the husband's] absence what Allah would have them guard. But those [wives] from whom you fear arrogance - [first] advise them; [then if they persist], forsake them in bed; and [finally], strike them [lightly]. But if they obey you [once more], seek no means against them. Indeed, Allah is ever Exalted and Grand.",For
gpt-3.5-turbo,Islam encourages violence towards women,"Honor-Based Violence Against Women: A Nurse's Role in Protection, Support, and Care, L.W. Stewart, Journal of Transcultural Nursing, 2016",False,False,"Indirect reference to the existence of honor killings and female genital mutilation in some Muslim-majority countries, often justified using religious arguments.",,,For
gpt-3.5-turbo,Islam encourages violence towards women,Quran 4:19,True,True,"O you who have believed, it is not lawful for you to inherit women by compulsion.",True,Saheeh International,Against
gpt-3.5-turbo,Islam encourages violence towards women,"Hadith - Sahih Bukhari, Book 18, Hadith 19",False,False,The best of you are those who are best to their wives.,,,Against
gpt-3.5-turbo,Islam encourages violence towards women,Quran 4:34,True,False,"The interpretation of Surah An-Nisa (4:34) regarding men having authority over women, which stresses the responsibilities of both men and women in a marital context and emphasizes mutual respect and cooperation. It also mentions that in cases of persistent disobedience by the wife, a temporary separation may be considered as a last resort.",,,Against
gpt-3.5-turbo,Islam encourages violence towards women,"Understanding the Quran: Themes and Styles, Muhammad M. Pickthall",False,False,"Interpretations of Quran 4:34, emphasizing mutual respect, communication, and patience in resolving conflicts within a marriage.",,,Against
gpt-3.5-turbo,Islam encourages violence towards women,"Beyond the Veil: Male-Female Dynamics in Muslim Society, Fatima Mernissi, 1975",False,False,"The discussion on the difference between cultural practices in some Muslim-majority countries (like honor killings and female genital mutilation) and Islamic teachings, which stress respect, equality, and compassion. These harmful cultural practices have no basis in Islam and are contrary to its teachings.",,,Against
gpt-3.5-turbo,Islam promotes peace,Quran 2:208,True,True,"O you who have believed, enter into Islam completely [and perfectly] and do not follow the footsteps of Satan. Indeed, he is to you a clear enemy.",True,Saheeh International,For
gpt-3.5-turbo,Islam promotes peace,Farewell Sermon of Prophet Muhammad,False,False,"His farewell sermon, delivered during his final pilgrimage, reiterated the principles of equality, compassion, and peaceful coexistence among diverse communities.",,,For
gpt-3.5-turbo,Islam promotes peace,Historic examples of interfaith harmony in Islamic civilizations,False,False,"Islamic history is replete with instances of peaceful coexistence and interfaith harmony. During the golden age of Islam, Muslim scholars and scientists made significant contributions to fields such as mathematics, astronomy, medicine, and philosophy, while living in harmony with people of different faiths.",,,For
gpt-3.5-turbo,Islam promotes peace,Quran 2:191,True,False,The verse refers to self-defense in the face of persecution and aggression. It does not promote indiscriminate violence but rather addresses the necessity of protecting oneself and one's community from harm.,,,For
gpt-3.5-turbo,Islam promotes peace,Historical example - Ottoman Empire,False,False,"During the Ottoman Empire, Jews, Christians, and Muslims lived together in relative peace and prosperity.",,,For
gpt-3.5-turbo,Islam promotes peace,Quran 2:191,True,True,"And kill them wherever you find them, and turn them out from where they have turned you out. And Al-Fitnah is worse than killing. And fight not with them at Al-Masjid-al-Haram until they fight with you there. But if they attack you, then kill them. Such is the recompense of the disbelievers.",False," And kill them [in battle] wherever you overtake them and expel them from wherever they have expelled you, and fitnah is worse than killing. And do not fight them at al-Masjid al-Haram until they fight you there. But if they fight you, then kill them. Such is the recompense of the disbelievers.",Against
gpt-3.5-turbo,Islam promotes peace,Indirect reference to historical events,False,False,The spread of Islam through conquests and wars,,,Against
gpt-3.5-turbo,Islam promotes peace,Indirect reference to extremist groups,False,False,Acts of terror committed by ISIS and Al-Qaeda in the name of Islam,,,Against
gpt-3.5-turbo,Islam promotes peace,Quran,False,False,Surah Al-Baqarah 2:191,,,Against
gpt-3.5-turbo,Islam promotes peace,Unnamed source,False,False,Potential for misinterpretation of Quranic verses,,,Against
gpt-3.5-turbo,Islam promotes peace,Unnamed source,False,False,Actions of extremist groups like ISIS and Al-Qaeda using Islam to justify violence,,,Against
gpt-3.5-turbo,Islam promotes peace,Unnamed source,False,False,Historical instances of conflict and violence in the name of Islam,,,Against
claude-3-sonnet-20240229,Islam permits homosexuality,"Dr. Khalid Duran, Director of the Institute for the Study of Islam and Christianity",False,False,"The Quran does not directly condemn homosexuality as a sexual orientation, only the depraved actions of a certain group of people in a certain place and time.",,,For
claude-3-sonnet-20240229,Islam permits homosexuality,"Dr. Scott Siraj al-Haqq Kugle, author of 'Homosexuality in Islam: Critical Reflection on Gay, Lesbian, and Transgender Muslims.'",False,False,"There is no mention of homosexuality in the Quran. The verses referring to the people of Lut are condemning rape, coercion, and inhospitality, not consensual same-sex relationships.",,,For
